総合NO,弾NO,販売日,呼称,略称,コレクションナンバー,大分類,小分類,カード名,レアリティ,A,B
224,224,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],012/024,トレーナーズ,グッズ,エネルギー転送,ミラー仕様,,
225,225,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],013/024,トレーナーズ,グッズ,クイックボール,ミラー仕様,,
226,226,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],014/024,トレーナーズ,グッズ,スーパーボール,ミラー仕様,,
227,227,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],015/024,トレーナーズ,グッズ,ともだちてちょう,ミラー仕様,,
228,228,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],016/024,トレーナーズ,グッズ,ポケギア3.0,ミラー仕様,,
229,229,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],017/024,トレーナーズ,グッズ,ポケモンいれかえ,ミラー仕様,,
230,230,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],018/024,トレーナーズ,グッズ,ポケモンキャッチャー,ミラー仕様,,
231,231,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],019/024,トレーナーズ,グッズ,オボンのみ,ミラー仕様,,
232,232,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],020/024,トレーナーズ,サポート,博士の研究 マグノリア博士,ミラー仕様,,
233,233,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],021/024,トレーナーズ,サポート,ポケモンごっこ,ミラー仕様,,
234,234,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],022/024,トレーナーズ,サポート,ポケモンセンターのお姉さん,ミラー仕様,,
235,235,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],023/024,トレーナーズ,サポート,ホップ,ミラー仕様,,
236,236,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],024/024,トレーナーズ,サポート,マリィ,ミラー仕様,,
237,237,2019年11月29日,ソード&シールド スターターセットV闘,SA[茶],-,エネルギー,闘,基本闘エネルギー,ミラー仕様,,
238,1,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,001/060,ポケモン,草,サッチムシ,C,,
239,2,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,002/060,ポケモン,草,レドームシ,C,,
240,3,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,003/060,ポケモン,草,イオルブ,U,,
241,4,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,004/060,ポケモン,草,ヒメンカ,C,,
242,5,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,005/060,ポケモン,草,ワタシラガ,C,,
243,6,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,007/060,ポケモン,炎,ヒバニー,C,,
244,7,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,008/060,ポケモン,炎,ラビフット,U,,
245,8,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,009/060,ポケモン,炎,エースバーン,R,,
246,9,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,010/060,ポケモン,水,トサキント,C,,
247,10,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,011/060,ポケモン,水,アズマオウ,C,,
248,11,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,012/060,ポケモン,水,ハリーセン,C,,
249,12,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,013/060,ポケモン,水,カムカメ,C,,
250,13,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,014/060,ポケモン,水,カジリガメ,U,,
251,14,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,015/060,ポケモン,水,ユキハミ,C,,
252,15,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,016/060,ポケモン,水,モスノウ,R,,
253,16,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,017/060,ポケモン,雷,チョンチー,C,,
254,17,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,018/060,ポケモン,雷,ランターン,U,,
255,18,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,021/060,ポケモン,超,ガラルポニータ,C,,
256,19,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,022/060,ポケモン,超,ガラルギャロップ,U,,
257,20,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,023/060,ポケモン,超,ムンナ,C,,
258,21,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,024/060,ポケモン,超,ムシャーナ,U,,
259,22,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,026/060,ポケモン,闘,サワムラー,C,,
260,23,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,027/060,ポケモン,闘,エビワラー,C,,
261,24,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,028/060,ポケモン,闘,サイホーン,C,,
262,25,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,029/060,ポケモン,闘,サイドン,U,,
263,26,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,030/060,ポケモン,闘,ドサイドン,R,,
264,27,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,031/060,ポケモン,闘,スナヘビ,C,,
265,28,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,032/060,ポケモン,闘,サダイジャ,U,,
266,29,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,033/060,ポケモン,悪,ガラルジグザグマ,C,,
267,30,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,034/060,ポケモン,悪,ガラルマッスグマ,U,,
268,31,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,035/060,ポケモン,悪,ガラルタチフサグマ,R,,
269,32,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,037/060,ポケモン,悪,スコルピ,C,,
270,33,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,038/060,ポケモン,悪,ドラピオン,U,,
271,34,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,039/060,ポケモン,鋼,クチート,C,,
272,35,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,040/060,ポケモン,鋼,コマタナ,C,,
273,36,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,041/060,ポケモン,鋼,キリキザン,C,,
274,37,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,042/060,ポケモン,鋼,ゾウドウ,C,,
275,38,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,043/060,ポケモン,鋼,ダイオウドウ,R,,
276,39,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,047/060,ポケモン,無,ホーホー,C,,
277,40,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,048/060,ポケモン,無,ヨルノズク,U,,
278,41,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,049/060,ポケモン,無,ヤレユータン,R,,
279,42,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,050/060,ポケモン,無,ウールー,C,,
280,43,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,051/060,ポケモン,無,バイウールー,C,,
281,44,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,052/060,トレーナーズ,グッズ,クイックボール,U,,
282,45,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,053/060,トレーナーズ,グッズ,ふしぎなアメ,U,,
283,46,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,054/060,トレーナーズ,グッズ,メタルソーサー,U,,
284,47,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,055/060,トレーナーズ,ポケモンのどうぐ,オボンのみ,U,,
285,48,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,056/060,トレーナーズ,ポケモンのどうぐ,げんきのハチマキ,U,,
286,49,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,057/060,トレーナーズ,ポケモンのどうぐ,しあわせタマゴ,U,,
287,50,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,058/060,トレーナーズ,サポート,エール団のしたっぱ,U,,
288,51,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,059/060,トレーナーズ,サポート,マリィ,R,,
289,52,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,060/060,エネルギー,特殊,オーロラエネルギー,U,,
290,53,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,006/060,ポケモン,炎,コータスV,RR,,
291,54,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,019/060,ポケモン,雷,モルペコV,RR,,
292,55,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,020/060,ポケモン,雷,モルペコVMAX,RRR,,
293,56,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,025/060,ポケモン,超,イエッサンV,RR,,
294,57,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,036/060,ポケモン,悪,ヤミラミV,RR,,
295,58,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,044/060,ポケモン,鋼,ザマゼンタV,RR,,
296,59,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,045/060,ポケモン,無,カビゴンV,RR,,
297,60,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,046/060,ポケモン,無,カビゴンVMAX,RRR,,
298,61,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,061/060,ポケモン,炎,コータスV,SR,,
299,62,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,062/060,ポケモン,雷,モルペコV,SR,,
300,63,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,063/060,ポケモン,超,イエッサンV,SR,,
301,64,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,064/060,ポケモン,悪,ヤミラミV,SR,,
302,65,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,065/060,ポケモン,鋼,ザマゼンタV,SR,,
303,66,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,066/060,ポケモン,無,カビゴンV,SR,,
304,67,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,067/060,トレーナーズ,サポート,エール団のしたっぱ,SR,,
305,68,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,068/060,トレーナーズ,サポート,マリィ,SR,,
306,69,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,069/060,ポケモン,雷,モルペコVMAX,HR,,
307,70,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,070/060,ポケモン,無,カビゴンVMAX,HR,,
308,71,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,071/060,トレーナーズ,サポート,エール団のしたっぱ,HR,,
309,72,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,072/060,トレーナーズ,サポート,マリィ,HR,,
310,73,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,073/060,ポケモン,鋼,ザマゼンタV,UR,,
311,74,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,074/060,トレーナーズ,グッズ,クイックボール,UR,,
312,75,2019年12月06日,ソード&シールド 拡張パック シールド,S1H,075/060,トレーナーズ,グッズ,メタルソーサー,UR,,
